Accessories,No Discount,435,35289.25
Accessories,Low Discount,283,6647.38
Appliances,No Discount,265,23183.74
Appliances,Low Discount,121,3583.91
Appliances,High Discount,65,-8629.64
Art,No Discount,452,5380.60
Art,Low Discount,279,1147.19
Binders,No Discount,295,39314.45
Binders,Low Discount,495,29417.81
Binders,High Discount,526,-38510.50
Bookcases,No Discount,60,6075.71
Bookcases,Low Discount,95,1549.49
Bookcases,Medium Discount,54,-7202.82
Bookcases,High Discount,15,-3894.94
Chairs,No Discount,124,21933.10
Chairs,Low Discount,303,11394.19
Chairs,Medium Discount,149,-6737.12
Copiers,No Discount,22,35556.13
Copiers,Low Discount,37,17878.71
Copiers,Medium Discount,9,2182.98
Envelopes,No Discount,148,4976.98
Envelopes,Low Discount,101,1987.19
Fasteners,No Discount,128,652.21
Fasteners,Low Discount,87,297.31
Furnishings,No Discount,529,16847.97
Furnishings,Low Discount,221,2155.83
Furnishings,High Discount,127,-5944.66
Labels,No Discount,225,4422.10
Labels,Low Discount,121,1124.16
Machines,No Discount,29,27137.82
Machines,Low Discount,33,5802.29
Machines,Medium Discount,28,-9976.03
Machines,High Discount,22,-19579.32
Paper,No Discount,737,25329.47
Paper,Low Discount,454,8724.10
Phones,No Discount,278,34365.21
Phones,Low Discount,438,16536.31
Phones,Medium Discount,98,-6385.79
Storage,No Discount,484,25528.17
Storage,Low Discount,293,-4249.35
Supplies,No Discount,115,1718.39
Supplies,Low Discount,72,-2907.49
Tables,No Discount,70,13276.30
Tables,Low Discount,69,-303.56
Tables,Medium Discount,168,-30698.22
